Date,Open,High,Low,Close,Adj Close,Volume
2016-12-13,34620,35440,34620,35320,30597.35547,11684450
2016-12-14,35560,35680,35280,35540,30787.93164,7455100
2016-12-15,34820,35500,34820,35180,30476.07227,5773550
2016-12-16,35300,36020,35200,35860,31065.14453,11747700
2016-12-19,35620,36380,35620,35900,31099.80078,5435800
2016-12-20,35920,36400,35840,36240,31394.3418,7615200
2016-12-21,36360,36600,36020,36100,31273.06641,6552100
2016-12-22,36260,36300,35980,36180,31342.36133,6354600
2016-12-23,36020,36080,35600,35640,30874.56445,8334850
2016-12-26,35600,36000,35560,35960,31151.77539,4823600
2016-12-27,35980,36200,35860,35980,31169.10547,4653450
2016-12-28,35840,35980,35600,35760,31459.41211,6662900
2016-12-29,35420,36040,35400,36040,31705.74414,7516450
2017-01-02,35980,36240,35880,36100,31758.5293,4650600
2017-01-03,36280,36620,36020,36480,32092.82813,7357650
2017-01-04,36500,36520,36100,36160,31811.30859,7971750
2017-01-05,36060,36060,35540,35560,31283.46875,10967450
2017-01-06,36180,36440,36040,36200,31846.5,8880950
2017-01-09,36600,37500,36560,37220,32743.83594,13194900
2017-01-10,37280,37400,37080,37240,32761.42578,9099800
2017-01-11,37520,38560,37420,38280,33676.35938,12018150
2017-01-12,38000,38800,37980,38800,34133.80859,11669150
2017-01-13,38100,38320,37460,37460,32954.96875,15954450
2017-01-16,36860,37820,36320,36660,32251.17969,16611500
2017-01-17,36580,37460,36580,36960,32515.09766,8150700
2017-01-18,37040,37500,36620,36940,32497.50391,8875400
2017-01-19,37720,37920,37020,37480,32972.57031,9418900
2017-01-20,37120,37420,36880,37200,32726.23438,9185000
2017-01-23,37200,38060,37000,38060,33482.8125,8810400
2017-01-24,38120,38580,37880,38160,33570.77734,11048750
2017-01-25,38340,39400,38320,39400,34661.66016,13433850
2017-01-26,39420,40000,39420,39900,35101.53516,15214500
2017-01-31,39900,39900,39460,39460,34714.44922,17992200
2017-02-01,39540,39660,39040,39120,34415.33594,14150400
2017-02-02,39600,39660,39200,39360,34626.47266,15029300
2017-02-03,39400,39500,39180,39460,34714.44922,10386350
2017-02-06,39580,39660,39140,39560,34802.41406,8860700
2017-02-07,39560,39580,38760,38820,34151.41406,14041800
2017-02-08,38740,38780,38200,38400,33781.91797,17092950
2017-02-09,38780,38840,38220,38400,33781.91797,13694150
2017-02-10,38400,38760,38300,38360,33746.73438,11020750
2017-02-13,37740,38060,37720,37960,33394.83984,11102050
2017-02-14,37960,38260,37320,37580,33060.53516,13124150
2017-02-15,37080,37960,37080,37720,33183.69922,14191550
2017-02-16,37800,38360,37780,38020,33447.625,10226350
2017-02-17,37560,38040,37280,37860,33306.85938,15377450
2017-02-20,38220,38780,38160,38660,34010.65625,7485800
2017-02-21,38540,39560,38420,38940,34256.98828,10562600
2017-02-22,39000,39340,38980,39300,34573.69141,8539450
2017-02-23,39020,39440,39020,39180,34468.12109,10217300
2017-02-24,38960,39100,38060,38220,33623.56641,9296850
2017-02-27,38020,38140,37700,38060,33482.8125,9033700
2017-02-28,38060,38760,37960,38440,33817.11328,15088700
2017-03-02,38420,39860,38420,39720,34943.17188,21249800
2017-03-03,39340,39720,39160,39620,34855.20703,12708700
2017-03-06,39220,40220,39220,40080,35259.89063,12234850
2017-03-07,39800,40320,39800,40200,35365.44922,10553250
2017-03-08,40200,40620,40140,40200,35365.44922,12140950
2017-03-09,40200,40300,40020,40200,35365.44922,14372250
2017-03-10,39960,40420,39860,40180,35347.85156,10227800
2017-03-13,40040,40980,40040,40600,35717.33984,7424100
2017-03-14,40620,41540,40500,41360,36385.94531,11325050
2017-03-15,40800,41440,40800,41400,36421.13281,9587850
2017-03-16,41800,42180,41540,41840,36808.21875,9933150
2017-03-17,41800,42500,41720,42400,37300.87109,12602300
2017-03-20,42000,42120,41740,41900,36861.00781,10250050
2017-03-21,41780,42680,41760,42560,37441.63281,14220150
2017-03-22,41600,42460,41580,42460,37353.65625,16427250
2017-03-23,42200,42360,41700,41800,36773.03125,15397100
2017-03-24,41600,41980,41080,41500,36509.11328,12808150
2017-03-27,41200,41880,41180,41200,36245.19141,12177650
2017-03-28,41560,41840,41380,41480,36491.51172,8216250
2017-03-29,41740,41960,41580,41780,36755.44531,10093250
2017-03-30,41880,42440,41880,41980,37055.55078,8204000
2017-03-31,41820,42020,41200,41200,36367.05078,10500300
2017-04-03,41400,41720,41300,41440,36578.89453,9579400
2017-04-04,41600,42180,41520,42080,37143.82813,12255500
2017-04-05,41900,42240,41700,42140,37196.78516,10699700
2017-04-06,42000,42080,41600,41840,36931.97266,9683400
2017-04-07,41800,41820,41160,41600,36720.12891,10021000
2017-04-10,41940,41940,41500,41940,37020.25391,7141350
2017-04-11,41940,41940,41580,41600,36720.12891,7172900
2017-04-12,41860,41940,41700,41900,36984.9375,8274900
2017-04-13,41660,42460,41660,42420,37443.94141,9040800
2017-04-14,42160,42260,41760,42020,37090.86328,5462850
2017-04-17,42000,42080,41520,41560,36684.8125,5224750
2017-04-18,41680,41820,41280,41500,36631.86328,6860650
2017-04-19,41300,41420,40900,40900,36102.25,11762900
2017-04-20,40580,40800,40080,40280,35554.97266,21148850
2017-04-21,40480,41400,40480,40760,35978.66406,15130500
2017-04-24,41260,41260,40920,41240,36402.36328,8990150
2017-04-25,41460,42740,41320,42700,37691.10547,19299600
2017-04-26,42700,42800,42520,42800,37779.36328,14794800
2017-04-27,42700,44520,41960,43840,38697.36328,23032250
2017-04-28,45780,45800,44520,44620,39385.86719,22685700
2017-05-02,45500,45500,44760,44900,39633.02734,14068300
2017-05-04,45700,45700,44860,45520,40180.29297,13690100
2017-05-08,45520,47020,45340,47020,41504.33984,19582550
2017-05-10,46160,47220,45600,45600,40250.91797,23410950
2017-05-11,45420,46180,45220,45500,40162.64844,21277850
2017-05-12,45760,46160,45660,45820,40445.09766,9422900
2017-05-15,45620,46280,45620,46100,40692.26172,8001400
2017-05-16,46660,46800,46100,46380,40939.42188,8803750
